"sample","total.leaf.area"
"LOUT_2_BA",23.49334918
"LOUT_2_BB",6.35718582
"LOUT_3_AA",17.29716751
"LOUT_3_BA",4.94339333
"LOUT_3_CA",23.407106
"LOUT_5_AA",3.42676723
"LOUT_6_AA",8.73624081
"LOUT_6_BA",4.56827744
"LOUT_6_CA",1.6814775
"LOUT_7_AA",6.55960412
"LOUT_7_BA",14.69217564
"LOUT_7_BB",26.70002649
"LOUT_7_CA",14.83025295
"LOUT_9_AA",5.93238956
"LUSP_11_AA",1.333
"LUSP_11_AB",1.25
"LUSP_11_AC",0.585
"LUSP_11_BA",2.24
"LUSP_11_BB",0.589
"LUSP_11_BC",0.208
"LUSP_11_CA",2.388
"LUSP_11_CB",1.63
"LUSP_11_CC",0.512
"LUSP_11_DA",2.545
"LUSP_11_EA",1.09
"LUSP_11_EB",4.701
"LUSP_12_AA",1.945
"LUSP_12_AB",1.095
"LUSP_12_AC",0.455
"LUSP_12_BA",3.265
"LUSP_12_BB",1.494
"LUSP_12_BC",0.634
"LUSP_12_CA",4.954
"LUSP_12_CB",3.223
"LUSP_12_CC",0.766
"LUSP_14_AA",7.021
"LUSP_14_AB",4.813
"LUSP_14_AC",1.96
"MESU_10_AA",2.778
"MESU_10_AB",10.446
"MESU_10_AC",6.977
"MESU_11_AA",2.545
"MESU_11_AB",10.816
"MESU_11_AC",14.529
"MESU_12_AA",8.706
"MESU_12_AB",5.465
"MESU_12_AC",7.816
"MESU_12_BA",9.039
"MESU_12_BB",5.706
"MESU_13_AA",10.641
"MESU_13_AB",7.243
"MESU_13_AC",5.63
"MESU_14_AA",8.696
"MESU_14_AB",5.393
"MESU_14_AC",10.515
"MESU_3_AA",12.706
"MESU_3_AB",8.481
"MESU_3_AC",12.147
"MESU_4_AA",9.81
"MESU_4_AB",11.892
"MESU_4_AC",5.978
"MESU_7_AA",12.386
"MESU_7_AB",8.174
"MESU_7_AC",12.133
"MESU_9_AA",2.407
"MESU_9_AB",8.118
"MESU_9_AC",10.855
"NEPA_10_AA",1.967
"NEPA_10_AB",2.59
"NEPA_10_AC",1.715
"NEPA_11_AA",1.592
"NEPA_11_AB",2.052
"NEPA_11_AC",1.489
"NEPA_15_AA",3.777
"NEPA_15_AB",3.717
"NEPA_15_AC",4.473
"NEPA_3_AA",1.263
"NEPA_3_AB",1.013
"NEPA_3_AC",1.003
"NEPA_6_AA",2.11
"NEPA_6_AB",1.114
"NEPA_6_AC",2.404
"NEPA_6_BA",3.084
"NEPA_6_BB",3.221
"NEPA_6_BC",2.101
"NEPA_6_CA",1.999
"NEPA_6_CB",1.716
"NEPA_6_CC",1.37
"NEPA_7_AA",2.217
"NEPA_7_AB",3.618
"NEPA_7_AC",3.047
"NEPA_8_AA",1.757
"NEPA_8_AB",0.633
"NEPA_8_AC",0.871
"PLCO_11_AA",0.366
"PLCO_11_AB",0.349
"PLCO_11_AC",0.084
"PLCO_14_AA",1.594
"PLCO_14_AB",1.593
"PLCO_14_AC",1.5
"PLCO_3_AA",2.065
"PLCO_3_AB",0.701
"PLCO_3_AC",0.811
"PLCO_4_AA",2.754
"PLCO_4_AB",2.381
"PLCO_4_AC",7.143
"PLCO_5_AA",1.979
"PLCO_5_AB",0.553
"PLCO_5_AC",0.47
"PLCO_6_AA",6.828
"PLCO_6_AB",4.632
"PLCO_6_AC",4.002
"PLCO_7_AA",3.4
"PLCO_7_AB",1.421
"PLCO_7_AC",1.479
"PLCO_8_AA",11.553
"PLCO_8_AB",7.593
"PLCO_8_AC",7.358
"PLCO_9_AA",4.651
"PLCO_9_AB",2.651
"PLCO_9_AC",2.384
"POPR_1_AA",3.439
"POPR_1_AB",3.298
"POPR_1_AC",1.67
"POPR_10_AA",3.701
"POPR_10_AB",0.86
"POPR_10_AC",2.578
"POPR_13_AA",6.496
"POPR_13_AB",4.987
"POPR_13_AC",2.256
"POPR_15_AA",4.301
"POPR_15_AB",0.958
"POPR_15_AC",3.402
"POPR_2_AA",4.01
"POPR_2_AB",3.458
"POPR_2_AC",1.866
"POPR_3_AA",4.916
"POPR_3_AB",2.535
"POPR_6_AA",6.717
"POPR_6_AB",5.465
"POPR_6_AC",2.632
"POPR_7_AA",2.581
"POPR_7_AB",1.863
"POPR_7_AC",0.739
"POPR_7_BA",5.565
"POPR_7_BB",2.723
"POPR_8_AA",2.428
"POPR_8_AB",3.368
"POPR_8_AC",0.834
"POPR_9_AA",2.985
"POPR_9_AB",1.631
"POPR_9_AC",3.696
"POPR_9_BA",11.063
"POPR_9_BB",7.996
"PRHE_13_AA",17.677
"PRHE_13_AB",12.5
"PRHE_13_AC",8.058
"PRHE_14_AA",14.33
"PRHE_14_AB",13.383
"PRHE_14_AC",8.444
"PRHE_2_AA",11.719
"PRHE_2_AB",11.443
"PRHE_2_AC",10.914
"PRHE_5_AA",14.084
"PRHE_5_AB",6.336
"PRHE_5_AC",17.278
"PRHE_6_AA",22.211
"PRHE_6_AB",17.997
"PRHE_6_AC",13.307
"PRHE_7_AA",10.462
"PRHE_7_AB",15.834
"PRHE_7_AC",19.312
"PRHE_8_AA",23.376
"PRHE_8_AB",35.621
"PRHE_8_AC",21.876
"PRHE_9_AA",20.381
"PRHE_9_AB",15.951
"PRHE_9_AC",11.93
"RAOC_11_AA",3.79
"RAOC_11_AB",6.832
"RAOC_11_AC",4.838
"RAOC_12_AA",1.959
"RAOC_12_AB",4.319
"RAOC_12_BA",2.172
"RAOC_14_AA",4.197
"RAOC_14_BA",5.208
"RAOC_14_CA",5.441
"RAOC_14_DA",2.537
"RAOC_14_EA",5.387
"RAOC_14_FA",2.509
"RAOC_14_GA",5.092
"RAOC_14_GB",4.994
"RAOC_14_GC",0.658
"RAOC_2_AA",1.434
"RAOC_2_AB",3.394
"RAOC_2_BA",3.498
"RAOC_2_BB",1.531
"RAOC_2_CA",4.43
"RAOC_2_CB",1.041
"RAOC_2_CC",2.368
"RAOC_4_AA",6.007
"RAOC_4_AB",4.222
"RAOC_4_AC",6.613
"RAOC_6_AA",6.036
"RAOC_6_BA",4.812
"RAOC_6_CA",6.841
"SACR_11_AA",10.252
"SACR_11_AB",20.291
"SACR_11_AC",24.497
"SACR_11_BA",21.635
"SACR_11_BB",21.289
"SACR_11_BC",34.247
"SACR_14_AA",17.954
"SACR_14_AB",19.401
"SACR_14_AC",24.968
"SACR_15_AA",17.33
"SACR_15_AB",22.021
"SACR_15_AC",24.084
"SACR_4_AA",14.818
"SACR_4_AB",15.824
"SACR_4_AC",10.251
"SACR_6_AA",26.023
"SACR_6_AB",28.703
"SACR_6_AC",46.492
"SACR_7_AA",15.067
"SACR_7_AB",54.519
"SACR_7_AC",45.305
"SACR_8_AA",22.731
"SACR_8_AB",16.428
"SACR_8_AC",17.455
"SACR_9_AA",15.904
"SACR_9_AB",17.212
"SACR_9_AC",35.972
"SYAL_13_AA",5.731
"SYAL_13_AB",5.903
"SYAL_13_AC",4.241
"SYAL_15_AA",3.232
"SYAL_15_AB",3.186
"SYAL_15_AC",3.639
"SYAL_3_AA",1.866
"SYAL_3_AB",1.761
"SYAL_3_AC",2.014
"SYAL_4_AA",5.106
"SYAL_4_AB",9.649
"SYAL_4_AC",6.536
"SYAL_5_AA",3.049
"SYAL_5_AB",3.541
"SYAL_5_AC",3.641
"SYAL_6_AA",4.162
"SYAL_6_AB",3.787
"SYAL_6_AC",3.918
"SYAL_7_AA",5.99
"SYAL_7_AB",5.612
"SYAL_7_AC",2.493
"SYAL_8_AA",3.213
"SYAL_8_AB",3.274
"SYAL_8_AC",5.155
"SYAL_9_AA",2.822
"SYAL_9_AB",3.182
"SYAL_9_AC",2.475
"VALO_2_AA",0.779
"VALO_2_AB",0.607
"VALO_2_AC",0.723
"VALO_3_AA",1.454
